config,features,n_samples,n_hallucinations,hallu_rate_%,auc,ci_95%,recall_%,detected,precision_%,f1,cohens_d_mean,cohens_d_max,p_value,tp,fp,tn,fn
Best 2-feature,L30 + L0,1000,517,51.7,0.8062,"[0.7812, 0.8331]",68.5,354/517,79.6,0.736,0.549,0.680,1.47e-21,354,91,392,163
Best 3-feature,L1 + L30 + L0,1000,517,51.7,0.7255,"[0.6966, 0.7558]",72.1,373/517,67.0,0.695,0.592,0.680,1.30e-25,373,184,299,144
Best 4-feature,L1 + L30 + L15 + L0,1000,517,51.7,0.7474,"[0.7193, 0.7755]",63.8,330/517,71.9,0.676,0.581,0.680,1.30e-25,330,129,354,187
Best 5-feature,L1 + L15 + L26 + L0 + L6,1000,517,51.7,0.7419,"[0.7137, 0.7707]",66.9,346/517,69.9,0.684,0.507,0.677,1.30e-25,346,149,334,171
