config,features,n_samples,n_hallucinations,hallu_rate_%,auc,ci_95%,recall_%,detected,precision_%,f1,cohens_d_mean,cohens_d_max,p_value,tp,fp,tn,fn
Best 2-feature,L15 + L26,1000,613,61.3,0.8165,"[0.7896, 0.8436]",78.6,482/613,83.0,0.807,0.541,0.617,1.83e-18,482,99,288,131
Best 3-feature,L1 + L15 + L26,1000,613,61.3,0.7475,"[0.7145, 0.7770]",77.0,472/613,76.9,0.769,0.549,0.617,4.35e-19,472,142,245,141
Best 4-feature,L30 + L1 + L15 + L12,1000,613,61.3,0.7368,"[0.7028, 0.7667]",73.1,448/613,77.9,0.754,0.562,0.617,2.74e-23,448,127,260,165
Best 5-feature,L1 + L15 + L29 + L12 + L26,1000,613,61.3,0.7636,"[0.7308, 0.7921]",76.8,471/613,78.0,0.774,0.523,0.617,4.35e-19,471,133,254,142
