is_hallucination,ppl,logprob_mean,logprob_min,len_gen
0,1.293640375137329,-0.2578125,-2.125,128
0,1.4276143312454224,-0.35546875,-2.296875,128
1,1.6919751167297363,-0.52734375,-2.546875,62
0,1.497781753540039,-0.404296875,-3.375,65
0,1.1907713413238525,-0.1748046875,-2.046875,128
0,1.391785979270935,-0.330078125,-1.828125,73
1,1.0729637145996094,-0.0703125,-0.87109375,77
0,1.3368873596191406,-0.291015625,-1.6484375,62
1,1.248110294342041,-0.2216796875,-2.390625,118
1,1.1374537944793701,-0.12890625,-2.546875,75
0,1.1821556091308594,-0.1669921875,-2.3125,128
0,1.1406357288360596,-0.1318359375,-2.3125,128
0,1.401304841041565,-0.337890625,-2.15625,128
0,1.2482880353927612,-0.2216796875,-1.8203125,128
0,1.1074180603027344,-0.10205078125,-3.15625,128
0,1.4216082096099854,-0.3515625,-1.890625,24
0,1.2211952209472656,-0.2001953125,-2.359375,128
1,1.255812168121338,-0.2275390625,-2.546875,128
0,1.3147555589675903,-0.2734375,-2.578125,128
0,1.3640881776809692,-0.310546875,-1.9609375,128
0,1.2282370328903198,-0.2060546875,-1.59375,128
0,1.1382324695587158,-0.1298828125,-1.265625,128
0,1.5273467302322388,-0.423828125,-2.453125,14
0,1.2211276292800903,-0.2001953125,-1.2265625,128
0,1.1808494329452515,-0.1669921875,-1.1171875,23
0,1.3173935413360596,-0.275390625,-2.015625,128
0,1.2265607118606567,-0.2041015625,-1.4140625,128
0,1.289297342300415,-0.25390625,-1.546875,128
0,1.7001222372055054,-0.53125,-4.34375,19
1,1.1787846088409424,-0.1640625,-1.8046875,128
1,1.2513738870620728,-0.224609375,-2.46875,112
0,1.1582112312316895,-0.146484375,-0.828125,23
0,1.3053430318832397,-0.265625,-3.40625,128
0,1.1121699810028076,-0.1064453125,-1.2890625,128
0,1.3077746629714966,-0.267578125,-1.984375,128
0,1.3759664297103882,-0.318359375,-2.453125,128
0,1.358768105506897,-0.306640625,-2.40625,128
1,1.432934284210205,-0.359375,-2.453125,78
0,1.4795645475387573,-0.392578125,-1.8515625,38
0,1.2300927639007568,-0.20703125,-1.1875,128
0,1.3871395587921143,-0.328125,-2.640625,128
0,1.3733854293823242,-0.31640625,-2.203125,97
0,1.2594205141067505,-0.23046875,-3.53125,128
0,1.2444556951522827,-0.21875,-1.578125,128
0,1.264769196510315,-0.2353515625,-1.734375,46
0,1.7867215871810913,-0.58203125,-2.875,68
0,1.5103740692138672,-0.412109375,-2.34375,128
0,1.3487111330032349,-0.298828125,-2.359375,98
0,1.3384820222854614,-0.291015625,-3.21875,128
0,1.4250072240829468,-0.353515625,-2.453125,14
0,1.3397178649902344,-0.29296875,-2.03125,128
0,1.2313445806503296,-0.2080078125,-1.109375,11
1,1.3557589054107666,-0.3046875,-2.0625,128
1,1.4013203382492065,-0.337890625,-2.046875,128
0,1.469098448753357,-0.384765625,-2.328125,53
0,1.1814496517181396,-0.1669921875,-2.09375,128
0,1.6747417449951172,-0.515625,-7.1875,23
0,1.482935905456543,-0.39453125,-2.765625,128
0,1.643545150756836,-0.49609375,-2.34375,128
0,1.3871524333953857,-0.328125,-2.359375,128
0,1.408318281173706,-0.341796875,-2.6875,14
1,1.1044228076934814,-0.09912109375,-2.125,94
0,1.3178706169128418,-0.275390625,-1.84375,128
0,1.1885056495666504,-0.1728515625,-2.21875,128
1,1.2986112833023071,-0.26171875,-2.03125,93
0,1.1785516738891602,-0.1640625,-2.25,128
0,1.3006207942962646,-0.263671875,-3.171875,128
0,1.2739559412002563,-0.2421875,-1.734375,128
0,1.3909587860107422,-0.330078125,-1.6015625,24
0,1.246384620666504,-0.220703125,-2.8125,128
0,1.4078211784362793,-0.341796875,-3.234375,14
0,1.268925666809082,-0.23828125,-5.5,128
1,1.235424280166626,-0.2109375,-3.4375,128
0,1.2490828037261963,-0.22265625,-1.2734375,19
0,1.2953429222106934,-0.259765625,-2.90625,128
0,1.3016961812973022,-0.263671875,-2.546875,128
0,1.5105700492858887,-0.412109375,-3.6875,27
1,1.247839093208313,-0.2216796875,-2.40625,82
0,1.4103068113327026,-0.34375,-1.671875,24
0,1.3480247259140015,-0.298828125,-4.15625,128
0,1.2880252599716187,-0.25390625,-2.90625,128
0,1.2578480243682861,-0.2294921875,-1.8984375,128
0,1.3299870491027832,-0.28515625,-2.59375,128
0,1.2854121923446655,-0.251953125,-2.25,128
0,1.2534254789352417,-0.2255859375,-2.265625,128
1,1.2791796922683716,-0.24609375,-2.8125,128
0,1.2040092945098877,-0.185546875,-1.0078125,22
0,1.405539870262146,-0.33984375,-1.546875,81
0,1.1755995750427246,-0.162109375,-0.93359375,11
0,1.2093532085418701,-0.1904296875,-1.8671875,128
0,1.248116374015808,-0.2216796875,-1.5703125,128
0,1.3603121042251587,-0.30859375,-2.09375,128
0,1.2088338136672974,-0.189453125,-1.40625,128
0,1.193436861038208,-0.1767578125,-2.640625,128
0,1.4274427890777588,-0.35546875,-2.0625,24
0,1.5708404779434204,-0.451171875,-3.234375,26
1,1.165847659111023,-0.1533203125,-1.71875,128
0,1.3570634126663208,-0.3046875,-3.53125,128
0,1.386976957321167,-0.328125,-3.171875,128
0,1.2803970575332642,-0.2470703125,-1.6875,128
0,1.1154897212982178,-0.109375,-1.6796875,128
0,1.347416877746582,-0.298828125,-6.8125,109
0,1.3418488502502441,-0.29296875,-3.125,128
0,1.2319504022598267,-0.208984375,-1.40625,128
0,1.2211929559707642,-0.2001953125,-1.9140625,128
0,1.4146819114685059,-0.34765625,-1.984375,43
1,1.2057019472122192,-0.1875,-2.78125,128
0,1.4533216953277588,-0.375,-2.171875,24
1,1.2525362968444824,-0.2255859375,-1.921875,95
0,1.188515067100525,-0.1728515625,-1.421875,128
0,1.4182080030441284,-0.349609375,-2.203125,70
1,1.168725848197937,-0.15625,-2.125,55
0,1.6094067096710205,-0.4765625,-2.609375,68
0,1.1771937608718872,-0.1630859375,-1.140625,66
0,1.4176393747329712,-0.349609375,-2.359375,112
0,1.3964366912841797,-0.333984375,-2.0,110
0,1.2286609411239624,-0.2060546875,-1.6171875,128
0,1.213300108909607,-0.193359375,-3.53125,128
0,1.4211093187332153,-0.3515625,-3.703125,20
0,1.3213542699813843,-0.279296875,-2.3125,128
1,1.3176301717758179,-0.275390625,-3.046875,121
0,1.1881468296051025,-0.1728515625,-1.828125,128
0,1.3456512689590454,-0.296875,-2.515625,128
0,1.906232237815857,-0.64453125,-2.75,30
0,1.2343902587890625,-0.2109375,-5.34375,95
0,1.3782703876495361,-0.3203125,-1.6953125,100
0,1.344470739364624,-0.296875,-2.984375,128
0,1.3070430755615234,-0.267578125,-2.59375,14
0,1.2893717288970947,-0.25390625,-2.890625,128
0,1.3705123662948608,-0.314453125,-2.46875,128
0,1.5056132078170776,-0.408203125,-2.390625,28
1,1.2437937259674072,-0.2177734375,-1.6015625,128
1,1.2316135168075562,-0.2080078125,-2.234375,128
0,1.2582371234893799,-0.2294921875,-1.671875,128
0,1.3675084114074707,-0.3125,-2.3125,11
0,1.2978054285049438,-0.26171875,-2.125,47
0,1.4874088764190674,-0.396484375,-1.828125,128
0,1.2741127014160156,-0.2421875,-2.015625,128
0,1.3455058336257935,-0.296875,-2.046875,128
1,1.183504343032837,-0.16796875,-1.7265625,63
0,1.5889915227890015,-0.462890625,-2.515625,128
0,2.042015790939331,-0.71484375,-2.75,31
0,1.2883628606796265,-0.25390625,-3.53125,128
0,1.3119959831237793,-0.271484375,-3.03125,128
0,1.228335976600647,-0.2060546875,-1.671875,128
0,1.1475131511688232,-0.1376953125,-1.75,128
0,1.2962396144866943,-0.259765625,-2.46875,128
0,1.369218349456787,-0.314453125,-2.09375,128
0,1.234829068183899,-0.2109375,-2.359375,128
0,1.152359962463379,-0.1416015625,-3.265625,128
1,1.2018967866897583,-0.18359375,-1.8828125,71
0,1.2334893941879272,-0.2099609375,-1.6484375,128
0,1.2488833665847778,-0.22265625,-2.34375,128
0,1.2419639825820923,-0.216796875,-2.40625,128
0,1.678788185119629,-0.51953125,-3.53125,23
0,1.433043122291565,-0.359375,-1.8046875,24
0,1.5087995529174805,-0.412109375,-2.390625,90
0,1.2811357975006104,-0.248046875,-1.71875,128
1,1.183990478515625,-0.1689453125,-1.609375,72
0,1.3324286937713623,-0.287109375,-4.5,128
0,1.4264963865280151,-0.35546875,-2.25,123
0,1.274949312210083,-0.2431640625,-2.03125,128
1,1.2710226774215698,-0.240234375,-1.9765625,128
0,1.2868218421936035,-0.251953125,-1.34375,15
0,1.2206823825836182,-0.19921875,-1.984375,128
1,1.1803723573684692,-0.166015625,-1.9921875,61
0,1.6192138195037842,-0.482421875,-2.453125,16
0,1.4360229969024658,-0.361328125,-2.359375,75
0,1.637595772743225,-0.4921875,-2.625,19
0,1.3184179067611694,-0.27734375,-2.0625,128
0,1.2210084199905396,-0.19921875,-1.8515625,128
