Dataset,N_Hallu,PPL_AUC,PPL_Prec,PPL_Rec,LogProb_AUC,LogProb_Prec,LogProb_Rec,PPL_Direction,LP_Direction
Llama Finance,517,0.6383098862284803,0.591025641025641,0.8916827852998066,0.5170677302962224,0.5203252032520326,0.9903288201160542,-,-
Llama Finance T03,613,0.6725596570431351,0.6507592190889371,0.9787928221859706,0.5484506662282754,0.6206543967280164,0.9902120717781403,-,+
Llama General,217,0.7079000182448458,0.3406113537117904,0.7188940092165899,0.5415482223046183,0.2412280701754386,0.7603686635944701,-,+
Mistral General,207,0.7943478870064759,0.4899598393574297,0.5893719806763285,0.6053450786166396,0.2724458204334365,0.8502415458937198,-,-
Qwen Finance,174,0.26790932620856645,0.1743486973947896,1.0,0.5294035790821296,0.17479674796747968,0.9885057471264368,+,+
Qwen General,200,0.276475,0.20040281973816718,0.995,0.486659375,0.20080321285140562,1.0,+,-
Test Manual,7,0.5714285714285714,0.7,1.0,0.6666666666666667,0.7,1.0,-,-
