layer,metric,mean_valid,std_valid,mean_hallucination,std_hallucination,cohens_d,p_value_raw,p_value_corrected,significant
0,HFER,0.256624423945793,0.02715232804758479,0.276602049262074,0.0179549724344085,0.7625849546988183,2.514739212074047e-34,3.8319835612556907e-34,True
1,HFER,0.02256260887917239,0.0026102697532976024,0.02100682541648471,0.0013154350945393687,-0.6254615170744672,1.7113567990873963e-22,2.1062852911844878e-22,True
2,HFER,0.023873811312057402,0.005514094806740209,0.02584267046063922,0.006626971425567226,0.34743618868998766,5.536328980446621e-06,5.714920237880383e-06,True
3,HFER,0.027816367757064482,0.004186479670276678,0.027927212543069634,0.003794463069706839,0.026763681247308064,0.4196084966932806,0.4196084966932806,False
4,HFER,0.03834668965633917,0.005513197382555096,0.041314970781476425,0.006057988541176118,0.5313530389376251,3.6201052257403286e-16,3.9945988697824316e-16,True
5,HFER,0.05131337378136433,0.005391270476530827,0.05431346135260367,0.0057703419028429515,0.5512609979279445,6.166679810696444e-17,7.047634069367365e-17,True
6,HFER,0.06296358438716688,0.006704446852337426,0.06883816964579642,0.007575569917062437,0.8611503986702583,2.2109424452896115e-37,3.723692539435135e-37,True
7,HFER,0.10544380810525679,0.016965097410280423,0.11405791641872544,0.016192547624236723,0.5103605562299075,1.513508817868084e-18,1.793788228584396e-18,True
8,HFER,0.1083573662459549,0.01735637734444316,0.119950199360525,0.017494311951816766,0.666972778448538,1.6336598720550696e-25,2.0910846362304892e-25,True
9,HFER,0.12082713072498637,0.020944901203776997,0.12968835711903415,0.01868924405932888,0.42834528047088233,5.374682878083358e-13,5.732995069955581e-13,True
10,HFER,0.10740161768226608,0.01608957835804239,0.11941006199002685,0.01574750330241074,0.7479769874277634,7.873981901940356e-31,1.1453064584640518e-30,True
11,HFER,0.12316623585994795,0.018256295055798778,0.13586334364482086,0.018484330775597847,0.694100975061067,5.547618138948839e-26,7.396824185265118e-26,True
12,HFER,0.1332025427672297,0.021070055602906805,0.15197945327839388,0.02095555873657026,0.8913720113670505,1.130603772636497e-38,2.0099622624648837e-38,True
13,HFER,0.11551873364081283,0.019259760320673967,0.13207317835707677,0.020120900282795985,0.8543153792769105,1.6228108735544435e-35,2.5964973976871095e-35,True
14,HFER,0.12317116800883801,0.02110847753391201,0.14263124122314177,0.022706275739793703,0.9126327303543098,2.782786853967748e-39,5.2381870192334075e-39,True
15,HFER,0.12509282598591812,0.023193207195788823,0.14226137547094198,0.025173905273803757,0.7318579469073192,2.890968303284734e-27,4.022216769787456e-27,True
16,HFER,0.11308401100375132,0.024219893167888102,0.13781690067243743,0.022086160478533602,1.0315834033758544,4.199461680663909e-52,1.2216615798295008e-51,True
17,HFER,0.09912562589490351,0.021243384508534302,0.12039994368879815,0.02090498628696265,1.002984894251292,9.822777840475104e-50,2.4179145453477176e-49,True
18,HFER,0.08518038587174329,0.022635985482190386,0.10620073968829631,0.02458669467160372,0.9180155578062666,2.478943063774194e-40,4.957886127548388e-40,True
